"","V1","V2","V3","V4","V5","V6"
"324","muB",7.1,657276073.774703,0.228,0.17,1585.01101259389
"325","muB",7.2,656976488.739676,0.228,0.17,1555.44720501916
"326","muB",7.3,656670654.029987,0.229,0.171,1626.01813983997
"327","muB",7.4,656386721.646904,0.229,0.171,1595.5067188916
"328","muB",7.5,656094309.884948,0.229,0.171,1565.75544598186
"329","muB",7.6,655793409.087585,0.229,0.171,1536.74135456301
"330","muB",7.7,655487967.186938,0.23,0.171,1605.48632728409
"331","muB",7.8,655202526.577475,0.23,0.172,1575.56143462005
"332","muB",7.9,654908648.804823,0.23,0.172,1546.37746240536
"333","muB",8,654606325.134268,0.23,0.172,1517.91216464607
"334","muB",8.1,654301614.501623,0.231,0.172,1584.86102603173
"335","muB",8.2,654014562.094916,0.231,0.172,1555.52066396206
"336","muB",8.3,653719114.924505,0.231,0.173,1526.90219144678
"337","muB",8.4,653415264.912176,0.231,0.173,1498.9840598431
"338","muB",8.5,653111609.392441,0.232,0.173,1564.16764543797
"339","muB",8.6,652822845.11448,0.232,0.173,1535.40910897539
"340","muB",8.7,652525728.812787,0.232,0.173,1507.35365585887
"341","muB",8.8,652220252.908446,0.232,0.174,1479.98041492215
"342","muB",8.9,651917961.890393,0.233,0.174,1543.430398606
"343","muB",9,651627389.570791,0.233,0.174,1515.2503424313
"344","muB",9.1,651328508.024455,0.233,0.174,1487.75479337388
"345","muB",9.2,651021310.318953,0.233,0.174,1460.92355181019
"346","muB",9.3,650720679.39863,0.234,0.175,1522.67232577639
"347","muB",9.4,650428206.447264,0.234,0.175,1495.06679651967
"348","muB",9.5,650127467.145363,0.234,0.175,1468.12744233047
"349","muB",9.6,649818455.384468,0.234,0.175,1441.83473736022
"350","muB",9.7,649519766.945013,0.235,0.175,1501.91529768653
"351","muB",9.8,649225304.328114,0.235,0.176,1474.87977874648
"352","muB",9.9,648922618.355082,0.235,0.176,1448.49237956452
"353","muB",10,648611703.776891,0.235,0.176,1422.73421216303
